model,frequency_min,center_hours,scale_days,entry_sigma,exit_sigma,hold_hours,valid_return,valid_end_equity,valid_max_drawdown,valid_sharpe_daily,valid_trades,valid_win_rate,valid_profit_factor,valid_net_pnl,valid_gross_price_pnl,valid_funding_cashflow,valid_net_pnl_including_funding,valid_fees,valid_turnover,valid_break_even_bp,valid_median_hold_min,test_return,test_end_equity,test_max_drawdown,test_sharpe_daily,test_trades,test_win_rate,test_profit_factor,test_net_pnl,test_gross_price_pnl,test_funding_cashflow,test_net_pnl_including_funding,test_fees,test_turnover,test_break_even_bp,test_median_hold_min,all_return,all_end_equity,all_max_drawdown,all_sharpe_daily,all_trades,all_win_rate,all_profit_factor,all_net_pnl,all_gross_price_pnl,all_funding_cashflow,all_net_pnl_including_funding,all_fees,all_turnover,all_break_even_bp,all_median_hold_min
PEER,60,4,7,2.0,0.5,12,-0.00051022692824787,100963.34355918712,-0.008274107721722324,-0.1647775363655472,76,0.6578947368421053,0.9800841342989685,-57.80394395288007,229.42744962038296,6.263429944908173,-51.54051400797189,287.2313935732632,1534649.9198005162,1.4949823191611376,180.0,-0.00537046245300854,100421.1237134723,-0.011836137119451418,-1.563007637057555,54,0.5555555555555556,0.7580355675293777,-546.5190987914573,-343.0757676222614,4.29925307670981,-542.2198457147475,203.4433311691955,1091261.7289074857,-3.143844950612636,240.0,0.004211237134723156,100421.1237134723,-0.013101643776649685,0.5643060063275583,182,0.6648351648351648,1.0704361399339437,394.2485259738007,1083.1789316501092,26.875187498541962,421.1237134723427,688.9304056763083,3669986.845257202,2.9514518098339324,180.0
PCA3,60,4,7,2.0,0.5,4,-0.0011502525664228713,100081.25206906658,-0.008978226915278054,-0.37080262004285197,71,0.647887323943662,0.9564704776051999,-120.42835839278905,142.75044716704775,5.17707326312819,-115.25128512966086,263.1788055598366,1427526.7803680864,0.9999843724839942,180.0,-0.00283705865054773,99797.3156871264,-0.009806791020106731,-0.827600964904745,64,0.625,0.8277619379753625,-283.0538210391951,-35.64343334870977,-0.8825609009732865,-283.93638194016836,247.4103876904852,1285446.2972259861,-0.27728449975412334,180.0,-0.0020268431287360222,99797.3156871264,-0.012194952308474116,-0.23095332352544135,170,0.6294117647058823,0.955682376063962,-216.20979427553044,422.3760887279527,13.525481402011849,-202.6843128735186,638.5858830034833,3412734.307537972,1.2376471493694008,180.0
PCA3,60,4,7,2.0,0.5,12,-0.0020738421253985173,99965.04796050121,-0.01045489786505438,-0.6399958136472609,71,0.6338028169014085,0.9230654798041866,-215.83967812363133,46.299081563247825,8.097125338492187,-207.74255278513914,262.1387596868793,1425366.8721218538,0.3248222087154678,180.0,-0.002611787727645698,99703.96047504446,-0.011319976864272108,-0.7533629067209497,63,0.6190476190476191,0.8478600209429946,-260.6298006733214,-16.4402085805239,-0.4576847833985027,-261.08748545671995,244.18959209279765,1264302.9111228792,-0.13003377937271915,180.0,-0.002960395249555492,99703.96047504446,-0.01289723990505054,-0.3397607870104793,168,0.6190476190476191,0.9371453504939302,-312.75883082653087,318.9254331735089,16.719305871082778,-296.0395249554481,631.6842640000399,3369489.285569686,0.9465097115439783,180.0
B0,5,4,7,2.0,0.5,1,-0.002321259177143542,100373.44883728202,-0.019904630077886676,-0.2825633651925542,95,0.5473684210526316,0.9626042034735127,-237.27636535917196,143.73493473943674,3.7414811109069124,-233.53488424826506,381.0113000986088,1905056.5004930438,0.7544917156117784,65.0,-0.006083815633878609,99762.79528001945,-0.023748718733843766,-1.2733263645333959,88,0.5909090909090909,0.8627474249991777,-622.0507376915291,-268.4710555905747,11.397180428901724,-610.6535572626274,353.57968210095487,1767898.4105047744,-1.5185887039398391,65.0,-0.0023720471998055492,99762.79528001945,-0.023748718733843766,-0.09877577219138425,239,0.5774058577405857,0.9802429621903196,-260.77271266380603,698.6411004034721,23.567992683161155,-237.20471998064488,959.4138130672782,4797069.0653363895,1.456391581792831,65.0
PEER,60,4,7,2.0,0.5,1,-0.005624743450196146,99804.61636523055,-0.009816494865244385,-1.753243305305553,83,0.5060240963855421,0.8027061153748937,-569.9648463478377,-272.98778538816566,5.414030645238931,-564.5508157025988,296.97706095967186,1661369.2809249223,-1.6431493498915972,120.0,-0.006099152132193808,99195.89282652378,-0.009699961183900707,-1.6665362937988581,64,0.4375,0.7357516495800761,-612.8666519472133,-382.73750478872444,4.143113240420218,-608.7235387067931,230.12914715848893,1275950.3418613805,-2.999626962209044,120.0,-0.008041071734762206,99195.89282652378,-0.01744124240400291,-0.9906354966041154,203,0.5123152709359606,0.8636486563736822,-818.9449092673378,-82.17684149136073,14.837735791100979,-804.1071734762369,736.7680677759774,4060597.782653712,-0.20237621623694999,120.0
PEER,15,4,7,2.0,0.5,1,-0.006074824131106715,99884.8168528266,-0.012287141007652713,-2.287706205204659,106,0.5377358490566038,0.8000307576443713,-614.466908310158,-207.80456840251497,3.9755851396012027,-610.4913231705568,406.6623399076429,2125061.5048765764,-0.9778755481930594,75.0,-0.00957529815617053,98928.38995018629,-0.014305186140998294,-2.751971194968344,89,0.47191011235955055,0.5955958767420971,-961.3641833867124,-631.5884748280628,4.937280746330681,-956.4269026403817,329.77570855864974,1774106.0257575503,-3.5600379326730036,75.0,-0.010716100498137093,98928.38995018629,-0.021545922217782287,-1.3737586263135364,281,0.5231316725978647,0.8355772767977485,-1084.2277260019691,-20.234266470413672,12.61767618827443,-1071.6100498136948,1063.9934595315556,5620832.454187067,-0.0359987006112249,75.0
PCA3,15,4,7,2.0,0.5,4,-0.01102648564183295,99081.73245856327,-0.015095760171602746,-3.625288046642448,80,0.575,0.6269490105566622,-1111.9112653484258,-800.7243232889273,7.206958852139978,-1104.7043064962859,311.18694205949845,1596422.9678762704,-5.015740435970643,135.0,-0.006361604366087126,98451.4136767554,-0.013724396410670692,-1.8175240315817403,70,0.5571428571428572,0.6946929457177994,-635.1156280637531,-357.56428880825047,4.796846255827167,-630.3187818079259,277.55133925550246,1391357.2854066254,-2.569895544146678,157.5,-0.01548586323244594,98451.4136767554,-0.02062979341934701,-1.8558433265071934,187,0.5775401069518716,0.7220244334168051,-1563.0905080701139,-830.6328236023373,14.504184825423588,-1548.5863232446902,732.4576844677761,3727545.4953645454,-2.228364012284452,150.0
PCA3,15,4,7,2.0,0.5,1,-0.011319590459377249,98865.0858003589,-0.014149066120519027,-3.9280745337215914,96,0.5625,0.6176432359631716,-1133.1905103327822,-766.5201188648683,1.2652985131635508,-1131.9252118196187,366.67039146791393,1910465.8383892495,-4.012215782466627,75.0,-0.0058317708164545845,98288.52727822209,-0.012325749231396399,-2.0187626424860725,91,0.5824175824175825,0.7432830422237746,-578.9427688451757,-229.5003198287806,2.384246708369737,-576.558522136806,349.44244901639513,1801920.8294201882,-1.273642637799064,75.0,-0.01711472721777918,98288.52727822209,-0.02029552619717323,-2.2751866043116005,235,0.5531914893617021,0.713320793625539,-1715.5658014787962,-812.5726670642085,4.0930797009495254,-1711.4727217778466,902.9931344145879,4672081.798755532,-1.7392089909056119,75.0
PCA3,15,4,7,2.0,0.5,12,-0.012467880510047658,98944.0528522543,-0.01566504930444479,-3.970511756667783,78,0.5769230769230769,0.5871631064307304,-1256.6779678207104,-953.4215269768227,7.4804948525443,-1249.197472968166,303.25644084388745,1556769.369977249,-6.12435949321611,135.0,-0.006132750307323964,98337.25368171676,-0.013497238144714041,-1.7671634245882795,70,0.5571428571428572,0.7023600134642901,-611.5895548171585,-334.4065361811333,4.790384279555689,-606.7991705376028,277.18301863602505,1389511.2491869393,-2.4066486426562466,157.5,-0.01662746318283248,98337.25368171676,-0.021831952734210458,-1.9813294217694175,184,0.5760869565217391,0.7020026280116952,-1677.5177336799902,-957.3617842245455,14.771415396650088,-1662.74631828334,720.1559494554447,3666032.9308048603,-2.611438037503829,150.0
PEER,15,4,7,2.0,0.5,4,-0.013342154261275496,99446.26120832415,-0.019329601893568915,-3.7170927117160604,82,0.5853658536585366,0.60100021244125,-1353.444423967705,-1032.4304021432295,8.674944376624644,-1344.7694795910804,321.014021824476,1644045.424565832,-6.279816766108389,135.0,-0.011892163121045685,98263.63004825664,-0.018102869422444767,-2.2761996376388014,66,0.5,0.5245018716761377,-1190.4489123542282,-935.2418738567716,7.817752286745369,-1182.6311600674828,255.20703849745652,1310322.821537675,-7.137492062904446,172.5,-0.01736369951743355,98263.63004825664,-0.03184669121261674,-1.582804327387684,218,0.591743119266055,0.7408062852503764,-1759.4884469386711,-911.375026517915,23.118495195462664,-1736.3699517432085,848.1134204207563,4358132.295796005,-2.09120550883014,135.0
