rank,strategy,period,target,trades,net_pnl_including_funding,win_rate
3,v3_selected_3_MEDIAN_15m_2bp,holdout,XLMUSDT,45,195.0859519937978,0.7111111111111111
3,v3_selected_3_MEDIAN_15m_2bp,holdout,XRPUSDT,46,-247.7815231222518,0.5
4,v3_selected_4_RIDGE_15m_2bp,valid,AAVEUSDT,55,37.88101472716612,0.6727272727272727
4,v3_selected_4_RIDGE_15m_2bp,valid,ADAUSDT,42,-766.7619100332076,0.40476190476190477
4,v3_selected_4_RIDGE_15m_2bp,valid,AVAXUSDT,49,-269.8533803337566,0.5510204081632653
4,v3_selected_4_RIDGE_15m_2bp,valid,BCHUSDT,40,-876.0528590318802,0.55
4,v3_selected_4_RIDGE_15m_2bp,valid,BNBUSDT,47,-128.85987038820136,0.5319148936170213
4,v3_selected_4_RIDGE_15m_2bp,valid,BTCUSDT,40,-140.9071914478417,0.45
4,v3_selected_4_RIDGE_15m_2bp,valid,DOGEUSDT,41,-157.99754665011852,0.5609756097560976
4,v3_selected_4_RIDGE_15m_2bp,valid,DOTUSDT,53,-304.3601292854931,0.4339622641509434
4,v3_selected_4_RIDGE_15m_2bp,valid,ETHUSDT,40,-229.4236087908884,0.55
4,v3_selected_4_RIDGE_15m_2bp,valid,FILUSDT,47,127.55836346852178,0.6595744680851063
4,v3_selected_4_RIDGE_15m_2bp,valid,HBARUSDT,58,814.8983814624828,0.6724137931034483
4,v3_selected_4_RIDGE_15m_2bp,valid,LINKUSDT,47,-122.81806889554527,0.5319148936170213
4,v3_selected_4_RIDGE_15m_2bp,valid,LTCUSDT,53,367.6889884299925,0.6792452830188679
4,v3_selected_4_RIDGE_15m_2bp,valid,NEARUSDT,64,-69.13108879025286,0.65625
4,v3_selected_4_RIDGE_15m_2bp,valid,SOLUSDT,62,-182.45897060366886,0.5967741935483871
4,v3_selected_4_RIDGE_15m_2bp,valid,SUIUSDT,47,-491.4972667008398,0.5106382978723404
4,v3_selected_4_RIDGE_15m_2bp,valid,TRXUSDT,49,17.551997109451364,0.4489795918367347
4,v3_selected_4_RIDGE_15m_2bp,valid,UNIUSDT,58,-217.0037436955888,0.6206896551724138
4,v3_selected_4_RIDGE_15m_2bp,valid,XLMUSDT,51,-1343.8743579932932,0.5686274509803921
4,v3_selected_4_RIDGE_15m_2bp,valid,XRPUSDT,48,-52.06730309263372,0.5833333333333334
4,v3_selected_4_RIDGE_15m_2bp,holdout,AAVEUSDT,53,65.69500973016741,0.5849056603773585
4,v3_selected_4_RIDGE_15m_2bp,holdout,ADAUSDT,52,-927.2314477335456,0.5576923076923077
4,v3_selected_4_RIDGE_15m_2bp,holdout,AVAXUSDT,31,-302.5844383513324,0.6129032258064516
4,v3_selected_4_RIDGE_15m_2bp,holdout,BCHUSDT,44,-428.5882388505276,0.6363636363636364
4,v3_selected_4_RIDGE_15m_2bp,holdout,BNBUSDT,49,-160.4423772184309,0.5102040816326531
4,v3_selected_4_RIDGE_15m_2bp,holdout,BTCUSDT,47,-106.29871312197201,0.48936170212765956
4,v3_selected_4_RIDGE_15m_2bp,holdout,DOGEUSDT,40,-401.17154915325705,0.475
4,v3_selected_4_RIDGE_15m_2bp,holdout,DOTUSDT,45,-304.42152431676465,0.4666666666666667
4,v3_selected_4_RIDGE_15m_2bp,holdout,ETHUSDT,37,-336.8211272102095,0.40540540540540543
4,v3_selected_4_RIDGE_15m_2bp,holdout,FILUSDT,41,-294.8377547422249,0.6097560975609756
4,v3_selected_4_RIDGE_15m_2bp,holdout,HBARUSDT,55,414.84527109251957,0.7272727272727273
4,v3_selected_4_RIDGE_15m_2bp,holdout,LINKUSDT,57,-285.38433250026213,0.5789473684210527
4,v3_selected_4_RIDGE_15m_2bp,holdout,LTCUSDT,58,338.66810582725776,0.6206896551724138
4,v3_selected_4_RIDGE_15m_2bp,holdout,NEARUSDT,65,602.0090639789829,0.6923076923076923
4,v3_selected_4_RIDGE_15m_2bp,holdout,SOLUSDT,54,23.14811320787729,0.6481481481481481
4,v3_selected_4_RIDGE_15m_2bp,holdout,SUIUSDT,56,276.7338025886698,0.625
4,v3_selected_4_RIDGE_15m_2bp,holdout,TRXUSDT,66,342.15452200371186,0.6363636363636364
4,v3_selected_4_RIDGE_15m_2bp,holdout,UNIUSDT,48,-692.7313778593791,0.5416666666666666
4,v3_selected_4_RIDGE_15m_2bp,holdout,XLMUSDT,46,104.94221818441203,0.6304347826086957
