id,model,frequency_min,target,signal_time,entry_time,exit_time,gross_target,entry_turnover,exit_turnover,price_pnl,fee,funding_cashflow,net_pnl,net_pnl_including_funding,hold_minutes,z_entry,reason
12,B0,15,AVAXUSDT,2026-04-06 00:29:00+00:00,2026-04-06 00:31:00+00:00,2026-04-06 02:31:00+00:00,9990.314168988836,10011.879876854975,10368.792342039573,-356.9124651845979,4.076134443778909,0.0,-360.9885996283768,-360.9885996283768,120.0,2.2753755914381717,stop
10,B0,15,ADAUSDT,2026-04-06 00:14:00+00:00,2026-04-06 00:16:00+00:00,2026-04-06 03:46:00+00:00,9986.881485599013,9994.723559792654,10069.22326463222,-74.49970483956695,4.012789364884975,0.0,-78.51249420445191,-78.51249420445191,210.0,2.584785755312545,mean
13,B0,15,AVAXUSDT,2026-04-06 02:44:00+00:00,2026-04-06 02:46:00+00:00,2026-04-06 04:01:00+00:00,9948.095347147264,9938.77192132988,9807.208023684594,131.56389764528703,3.949195989002895,0.0,127.61470165628414,127.61470165628414,75.0,2.1018608643328527,mean
14,B0,15,AAVEUSDT,2026-04-07 11:29:00+00:00,2026-04-07 11:31:00+00:00,2026-04-07 13:31:00+00:00,9962.223847686328,9970.281105564296,10085.384789535252,115.103683970957,4.011133179019909,0.0,111.09255079193709,111.09255079193709,120.0,-2.1057376371632843,mean
15,B0,15,DOTUSDT,2026-04-07 21:44:00+00:00,2026-04-07 21:46:00+00:00,2026-04-07 23:01:00+00:00,9973.333102765522,9996.855114800346,10294.800600574788,-297.945485774442,4.058331143075027,0.0,-302.003816917517,-302.003816917517,75.0,2.1016104738512027,stop
17,B0,15,SUIUSDT,2026-04-07 22:44:00+00:00,2026-04-07 22:46:00+00:00,2026-04-07 23:16:00+00:00,9951.963354831883,9946.609382723624,10256.068970580996,-309.4595878573723,4.040535670660924,0.0,-313.50012352803327,-313.50012352803327,30.0,2.1939305764608283,stop
16,B0,15,ADAUSDT,2026-04-07 22:44:00+00:00,2026-04-07 22:46:00+00:00,2026-04-08 01:31:00+00:00,9951.963354831883,9963.499633836713,10044.25358687051,-80.75395303379777,4.001550644141444,1.0101934981894654,-84.75550367793922,-83.74531017974975,165.0,2.2395676748241935,mean
19,B0,15,SUIUSDT,2026-04-07 23:29:00+00:00,2026-04-07 23:31:00+00:00,2026-04-08 02:46:00+00:00,9883.168713819272,9831.49333916223,9772.72526602285,58.76807313938081,3.9208437210370164,0.9723148418198204,54.847229418343794,55.81954426016362,195.0,3.881238119570174,mean
18,B0,15,HBARUSDT,2026-04-07 23:14:00+00:00,2026-04-07 23:16:00+00:00,2026-04-08 03:01:00+00:00,9893.564201756139,9909.670503365249,10015.972093985376,-106.30159062012832,3.985128519470125,0.9861351598537919,-110.28671913959845,-109.30058397974466,225.0,3.567766465922388,mean
20,B0,15,BNBUSDT,2026-04-12 01:44:00+00:00,2026-04-12 01:46:00+00:00,2026-04-12 05:16:00+00:00,9898.06007373103,9887.428430257636,9875.467831350066,-11.960598907570173,3.9525792523215406,0.0,-15.913178159891713,-15.913178159891713,210.0,-2.041302936112315,mean
21,B0,15,BCHUSDT,2026-04-12 02:14:00+00:00,2026-04-12 02:16:00+00:00,2026-04-12 05:31:00+00:00,9898.942101452694,9934.385406819247,9915.264676292554,-19.120730526691656,3.9699300166223606,0.0,-23.090660543314016,-23.090660543314016,195.0,-2.0347217786923077,mean
22,B0,15,AAVEUSDT,2026-04-13 23:29:00+00:00,2026-04-13 23:31:00+00:00,2026-04-14 00:46:00+00:00,9894.159689860711,9894.159689860711,9671.31394720846,222.84574265225172,3.913094727413834,0.9870249202451673,218.93264792483788,219.91967284508306,75.0,2.057144989514426,mean
23,B0,15,ETHUSDT,2026-04-13 23:29:00+00:00,2026-04-13 23:31:00+00:00,2026-04-14 01:31:00+00:00,9894.159689860711,9883.96490844571,9786.03698778048,97.92792066522986,3.934000379245238,0.9816869985230726,93.99392028598463,94.9756072845077,120.0,2.012655887160014,mean
24,B0,15,DOGEUSDT,2026-04-14 13:59:00+00:00,2026-04-14 14:01:00+00:00,2026-04-14 15:16:00+00:00,9925.649217873672,9989.065360856788,9765.063178384165,224.0021824726228,3.9508257078481908,0.0,220.0513567647746,220.0513567647746,75.0,2.030073207710335,mean
25,B0,15,TRXUSDT,2026-04-15 12:29:00+00:00,2026-04-15 12:31:00+00:00,2026-04-15 15:46:00+00:00,9947.654353550148,9939.127096573066,9946.740718874033,-7.613622300966861,3.97717356308942,0.0,-11.59079586405628,-11.59079586405628,195.0,2.1432913069004327,mean
26,B0,15,SUIUSDT,2026-04-27 05:29:00+00:00,2026-04-27 05:31:00+00:00,2026-04-27 09:01:00+00:00,9946.495273963743,9933.728353085835,9878.405029281565,-55.323323804269215,3.9624266764734797,0.9815006222097771,-59.2857504807427,-58.30424985853292,210.0,-2.265690715931808,mean
27,B0,15,ADAUSDT,2026-04-27 05:29:00+00:00,2026-04-27 05:31:00+00:00,2026-04-27 09:01:00+00:00,9946.495273963743,9934.492262772314,9902.484232928506,-32.00802984380912,3.967395299140164,0.5764719793338697,-35.975425142949284,-35.39895316361542,210.0,-2.1288736552974568,mean
28,B0,15,XRPUSDT,2026-04-27 05:29:00+00:00,2026-04-27 05:31:00+00:00,2026-04-27 09:01:00+00:00,9946.495273963743,9945.093470669548,9935.981749257277,-9.111721412270912,3.9762150439853645,0.0025759354524967806,-13.087936456256276,-13.08536052080378,210.0,-2.0875685592690374,mean
29,B0,15,DOGEUSDT,2026-04-29 07:59:00+00:00,2026-04-29 08:01:00+00:00,2026-04-29 10:01:00+00:00,9935.816417609449,9945.286315071906,10390.371495807365,-445.08518073545906,4.067131562175854,0.0,-449.1523122976349,-449.1523122976349,120.0,2.1207037623400087,stop
30,B0,15,LTCUSDT,2026-04-29 09:59:00+00:00,2026-04-29 10:01:00+00:00,2026-04-29 11:31:00+00:00,9893.949963048339,9940.611386454855,9785.073308433133,155.5380780217216,3.9451369389775977,0.0,151.59294108274398,151.59294108274398,90.0,2.727651920289274,mean
32,B0,15,FILUSDT,2026-04-29 11:14:00+00:00,2026-04-29 11:16:00+00:00,2026-04-29 12:16:00+00:00,9904.747961706431,9955.282390082484,9652.075819826165,303.2065702563196,3.92147164198173,0.0,299.28509861433787,299.28509861433787,60.0,2.453336651108923,mean
31,B0,15,DOGEUSDT,2026-04-29 10:14:00+00:00,2026-04-29 10:16:00+00:00,2026-04-29 14:31:00+00:00,9893.81313571239,9892.019315907166,9484.822220121341,407.1970957858242,3.8753683072057017,0.0,403.3217274786185,403.3217274786185,255.0,3.295903313935151,timeout
34,B0,15,LTCUSDT,2026-04-29 15:44:00+00:00,2026-04-29 15:46:00+00:00,2026-04-29 18:01:00+00:00,9968.498246104866,9963.080584014591,10008.22776810021,45.14718408561986,3.9942616704229605,-0.16505832172350982,41.1529224151969,40.98786409347339,135.0,-2.366529932021523,mean
33,B0,15,FILUSDT,2026-04-29 15:14:00+00:00,2026-04-29 15:16:00+00:00,2026-04-29 18:16:00+00:00,9976.321163097256,9954.538802479141,9606.021032589279,-348.5177698898608,3.9121119670136837,1.4903392025174347,-352.4298818568745,-350.93954265435707,180.0,-2.966281165758685,stop
36,B0,15,ADAUSDT,2026-04-29 18:14:00+00:00,2026-04-29 18:16:00+00:00,2026-04-29 19:16:00+00:00,9948.785469754537,9940.477506940546,10040.173060708441,99.69555376789455,3.996130113529797,0.0,95.69942365436476,95.69942365436476,60.0,-2.0764410203044736,mean
37,B0,15,FILUSDT,2026-04-29 18:29:00+00:00,2026-04-29 18:31:00+00:00,2026-04-29 19:16:00+00:00,9944.805829973362,9899.653476602312,10080.262890086506,180.60941348419288,3.9959832733377634,0.0,176.6134302108551,176.6134302108551,45.0,-2.1397827774712206,mean
35,B0,15,UNIUSDT,2026-04-29 18:14:00+00:00,2026-04-29 18:16:00+00:00,2026-04-29 20:16:00+00:00,9948.785469754537,9929.714315499417,10037.784189611766,108.069874112349,3.9934997010222366,0.0,104.07637441132677,104.07637441132677,120.0,-2.133228146012948,mean
38,B0,15,BCHUSDT,2026-05-01 14:14:00+00:00,2026-05-01 14:16:00+00:00,2026-05-01 16:01:00+00:00,9982.964918068821,10007.710460344948,9892.304258756289,115.40620158866017,3.9800029438202467,0.6222136108345347,111.42619864483993,112.04841225567446,105.0,2.3952514665666427,mean
39,B0,15,TRXUSDT,2026-05-03 05:29:00+00:00,2026-05-03 05:31:00+00:00,2026-05-03 09:16:00+00:00,9994.16975929439,10008.107802043472,10054.963350008473,-46.85554796500056,4.012614230410389,0.47423088089801124,-50.868162195410946,-50.39393131451293,225.0,2.7862171729871084,mean
42,B0,15,UNIUSDT,2026-05-04 02:44:00+00:00,2026-05-04 02:46:00+00:00,2026-05-04 04:46:00+00:00,9982.673509077404,9988.687167817812,10307.41108105944,-318.7239132416276,4.05921964977545,0.0,-322.78313289140306,-322.78313289140306,120.0,2.076184197296543,stop
40,B0,15,FILUSDT,2026-05-04 02:29:00+00:00,2026-05-04 02:31:00+00:00,2026-05-04 05:16:00+00:00,9989.130366162939,10030.838634915184,9947.422097410692,83.41653750449225,3.9956521464651753,0.0,79.42088535802708,79.42088535802708,165.0,2.4919557883310786,mean
41,B0,15,AVAXUSDT,2026-05-04 02:44:00+00:00,2026-05-04 02:46:00+00:00,2026-05-04 05:31:00+00:00,9982.673509077404,9984.824252050383,9961.166079347624,23.6581727027583,3.9891980662796014,0.0,19.668974636478698,19.668974636478698,165.0,2.151184788304887,mean
43,B0,15,UNIUSDT,2026-05-04 04:59:00+00:00,2026-05-04 05:01:00+00:00,2026-05-04 06:31:00+00:00,9950.6773983567,9942.009560901684,9722.424345374651,219.5852155270341,3.9328867812552666,0.0,215.65232874577885,215.65232874577885,90.0,3.673356683895233,mean
44,B0,15,LINKUSDT,2026-05-04 09:44:00+00:00,2026-05-04 09:46:00+00:00,2026-05-04 10:16:00+00:00,9988.326271747826,9977.969234966671,9665.186724175728,312.7825107909415,3.9286311918284795,0.0,308.853879599113,308.853879599113,30.0,3.4286803430182315,mean
45,B0,15,BCHUSDT,2026-05-04 10:14:00+00:00,2026-05-04 10:16:00+00:00,2026-05-04 11:16:00+00:00,10018.05854866067,9999.776168846976,10135.979898458989,136.2037296120113,4.0271512134611935,0.0,132.1765783985501,132.1765783985501,60.0,-2.181095303886319,mean
46,B0,15,AVAXUSDT,2026-05-04 10:14:00+00:00,2026-05-04 10:16:00+00:00,2026-05-04 12:16:00+00:00,10018.05854866067,10005.927478203243,10070.994128838533,65.06665063528978,4.015384321408355,0.0,61.05126631388142,61.05126631388142,120.0,-2.1513328111720433,mean
47,B0,15,DOTUSDT,2026-05-04 10:29:00+00:00,2026-05-04 10:31:00+00:00,2026-05-04 12:16:00+00:00,10023.949482542266,10032.240590468271,10115.15166972834,82.91107926006843,4.0294784520393225,0.0,78.8816008080291,78.8816008080291,105.0,-2.2592777378901903,mean
48,B0,15,BCHUSDT,2026-05-05 08:44:00+00:00,2026-05-05 08:46:00+00:00,2026-05-05 13:01:00+00:00,10046.422604259784,10065.83640757507,10143.0503980336,-77.2139904585284,4.041777361121734,0.0,-81.25576781965013,-81.25576781965013,255.0,2.719924578647525,timeout
49,B0,15,SUIUSDT,2026-05-05 13:14:00+00:00,2026-05-05 13:16:00+00:00,2026-05-05 14:01:00+00:00,10038.297027477818,10042.393455564936,9889.801509319863,152.59194624507217,3.98643899297696,0.0,148.6055072520952,148.6055072520952,45.0,2.023591855759986,mean
50,B0,15,FILUSDT,2026-05-05 20:59:00+00:00,2026-05-05 21:01:00+00:00,2026-05-05 22:46:00+00:00,10053.157578203027,10053.157578203027,9900.528667602779,152.62891060024853,3.9907372491611612,0.0,148.63817335108737,148.63817335108737,105.0,2.0961331960012646,mean
51,B0,15,FILUSDT,2026-05-06 01:59:00+00:00,2026-05-06 02:01:00+00:00,2026-05-06 03:31:00+00:00,10068.021395538135,10068.021395538135,10467.23694410396,-399.21554856582475,4.107051667928419,0.0,-403.3226002337532,-403.3226002337532,90.0,2.9076930568203814,stop
52,B0,15,FILUSDT,2026-05-06 03:44:00+00:00,2026-05-06 03:46:00+00:00,2026-05-06 04:01:00+00:00,10027.68913551476,10018.352367232157,10410.49663510145,-392.14426786929266,4.085769800466721,0.0,-396.2300376697594,-396.2300376697594,15.0,3.1100611951712946,stop
53,B0,15,FILUSDT,2026-05-06 04:14:00+00:00,2026-05-06 04:16:00+00:00,2026-05-06 06:16:00+00:00,9988.066131747782,9997.01601179415,9809.068530820403,187.94748097374776,3.9612169085229105,0.0,183.98626406522484,183.98626406522484,120.0,3.8906879621009893,mean
54,B0,15,BCHUSDT,2026-05-06 04:44:00+00:00,2026-05-06 04:46:00+00:00,2026-05-06 07:31:00+00:00,9970.861419339446,9932.325671932073,9978.231644253425,-45.90597232135176,3.9821114632370995,0.0,-49.88808378458886,-49.88808378458886,165.0,2.3687749418223483,mean
