symbol,band,minutes,n,mean,median,positive_rate,q05,model
LTCUSDT,4+,30,365,0.0007319928038058,0.0003800114003418,0.5178082191780822,-0.0131148629579826,B0
LTCUSDT,4+,60,365,0.0015127213147903,0.0006648936170212,0.5178082191780822,-0.0119621161826721,B0
LTCUSDT,4+,120,365,0.0023796736060884,0.0004419889502762,0.5123287671232877,-0.0132188094010172,B0
LTCUSDT,4+,240,365,0.0034214955624068,-0.0002093364036006,0.4904109589041096,-0.0167397678443866,B0
LTCUSDT,4+,1440,365,0.0017784589154015,-0.0007358351729211,0.4876712328767123,-0.0280409837840178,B0
BCHUSDT,1-2,5,8181,1.2418881289602435e-05,4.642525533893327e-05,0.5072729495171739,-0.0044115330077202,B0
BCHUSDT,1-2,15,8181,-1.284340318536661e-07,8.488604049050608e-05,0.5070284806258404,-0.0066099713836604,B0
BCHUSDT,1-2,30,8181,-2.462891146698859e-05,0.0001110296893389,0.511306686224178,-0.0089956820726051,B0
BCHUSDT,1-2,60,8181,-5.966930049209557e-05,0.0001782928459994,0.513017968463513,-0.012437278542722,B0
BCHUSDT,1-2,120,8181,0.0001427718210402,0.0002439240730884,0.515340422931182,-0.0152443626045218,B0
BCHUSDT,1-2,240,8181,-0.0001277904570791,4.2840312734160335e-05,0.5010389927881677,-0.0231357654862521,B0
BCHUSDT,1-2,1440,8151,-0.0001332538590716,-0.0014130946773434,0.4724573671942093,-0.0562050177246072,B0
BCHUSDT,2-3,5,1796,-0.0001158055467919,-5.897519991282518e-05,0.4860801781737194,-0.0060831122649984,B0
BCHUSDT,2-3,15,1796,-0.0001552496478725,4.44989927029793e-05,0.5027839643652561,-0.0086922583291963,B0
BCHUSDT,2-3,30,1796,-0.0002308370418627,0.0001795305084423,0.512249443207127,-0.0118123770764465,B0
BCHUSDT,2-3,60,1796,0.0005735531662932,0.0006540652407084,0.5417594654788419,-0.015087061883957,B0
BCHUSDT,2-3,120,1796,0.0011843021151218,0.0005608116349451,0.5233853006681515,-0.0202326348598163,B0
BCHUSDT,2-3,240,1796,0.0017901955793942,0.000928754055303,0.5339643652561247,-0.0278689654475845,B0
BCHUSDT,2-3,1440,1793,0.0052138996828196,-2.2484036334202703e-05,0.4997211377579476,-0.0567073171506988,B0
BCHUSDT,3-4,5,572,0.000272721927192,3.912903805913803e-05,0.5034965034965035,-0.0065161326283417,B0
BCHUSDT,3-4,15,572,0.0004758820709894,0.0006196410695258,0.541958041958042,-0.0098549868883998,B0
BCHUSDT,3-4,30,572,0.0009343359907118,0.0003913587837665,0.5332167832167832,-0.0097704213583734,B0
BCHUSDT,3-4,60,572,0.000949022663211,0.0003186727119406,0.513986013986014,-0.0150136444853537,B0
BCHUSDT,3-4,120,572,0.0005763396052104,0.0,0.4965034965034965,-0.0285433510797083,B0
BCHUSDT,3-4,240,572,-0.0001171193152303,-0.0011350646427486,0.4755244755244755,-0.0361338550177047,B0
BCHUSDT,3-4,1440,572,0.0183888200226485,0.0030184468477878,0.5437062937062938,-0.0611922925464794,B0
BCHUSDT,4+,5,554,4.912608420118415e-05,-8.606569093194683e-05,0.4855595667870036,-0.007614929265958,B0
BCHUSDT,4+,15,554,0.0004071621194609,2.304080276172016e-05,0.5018050541516246,-0.0126051001743071,B0
BCHUSDT,4+,30,554,0.000940891151213,-0.0003689054339277,0.4765342960288808,-0.0133648699232446,B0
BCHUSDT,4+,60,554,0.0018315302436231,-0.0003810311510512,0.4765342960288808,-0.0160945574926728,B0
BCHUSDT,4+,120,554,0.0005338535556007,-0.0018612177770734,0.4566787003610108,-0.0250866745179293,B0
BCHUSDT,4+,240,554,-0.002351082381914,-0.0019848605520627,0.4386281588447653,-0.0420685504423112,B0
BCHUSDT,4+,1440,554,0.0057485022668232,-0.003068306402176,0.4783393501805054,-0.0584683369713025,B0
DOTUSDT,1-2,5,10116,-4.2288707445786894e-05,0.0,0.4396006326611308,-0.0048903832745983,B0
DOTUSDT,1-2,15,10116,-4.886384147065583e-05,0.0,0.4591735863977856,-0.0069945365220955,B0
DOTUSDT,1-2,30,10116,-6.309958353871046e-05,0.0,0.4665875840253064,-0.0092592592592593,B0
DOTUSDT,1-2,60,10116,-5.753506111710992e-05,0.0,0.4790431000395413,-0.0121235095457991,B0
DOTUSDT,1-2,120,10116,-1.5391634189427846e-05,0.0,0.4801304863582443,-0.0159758535635466,B0
DOTUSDT,1-2,240,10114,0.0001395250297883,0.0,0.4757761518686969,-0.0218579234972677,B0
DOTUSDT,1-2,1440,10057,-0.002545988034989,-0.0032102728731941,0.4509297007059759,-0.052994103816094,B0
DOTUSDT,2-3,5,2052,-3.471302507360845e-05,0.0,0.4634502923976608,-0.0064620355411955,B0
DOTUSDT,2-3,15,2052,-0.0001902225074714,0.0,0.482943469785575,-0.0096767363933153,B0
DOTUSDT,2-3,30,2052,-0.0002082876428597,0.0,0.4853801169590643,-0.0126925894355504,B0
DOTUSDT,2-3,60,2052,-1.2450111984275544e-06,0.0,0.4926900584795322,-0.01594302183459,B0
DOTUSDT,2-3,120,2052,0.0002801017451604,0.0006377924571279,0.5063352826510721,-0.019869400299665,B0
DOTUSDT,2-3,240,2052,0.000110081348074,0.0,0.4936647173489278,-0.0258612217764973,B0
DOTUSDT,2-3,1440,2042,-0.0055852921384717,-0.006487044560743,0.4113614103819784,-0.0563456060357521,B0
DOTUSDT,3-4,5,592,6.444665580166589e-05,0.0,0.4898648648648648,-0.0088209908847351,B0
DOTUSDT,3-4,15,592,0.0005418388258408,0.0007513661202185,0.5287162162162162,-0.0111121435366474,B0
DOTUSDT,3-4,30,592,0.0008881025809278,0.0008156742519048,0.527027027027027,-0.0137434124875287,B0
DOTUSDT,3-4,60,592,0.0003063588880805,0.0007117495411621,0.5084459459459459,-0.0192514744695872,B0
DOTUSDT,3-4,120,592,0.0010143777037431,0.0008127837075205,0.5253378378378378,-0.0228590948384038,B0
DOTUSDT,3-4,240,592,0.0016505570896083,0.0007222486759353,0.5084459459459459,-0.0291797443394302,B0
DOTUSDT,3-4,1440,589,-0.0028817379028944,-0.003228410008071,0.4499151103565365,-0.0615953537987436,B0
DOTUSDT,4+,5,329,0.0008973233834171,0.0008241475224064,0.5501519756838906,-0.0093086213007721,B0
DOTUSDT,4+,15,329,0.0015149125563214,0.0015723270440251,0.5683890577507599,-0.0116205209959205,B0
DOTUSDT,4+,30,329,0.002079223044174,0.0024429967426711,0.6231003039513677,-0.0136671160397398,B0
DOTUSDT,4+,60,329,0.0049516564087952,0.0045731707317073,0.6656534954407295,-0.0170737995488237,B0
DOTUSDT,4+,120,329,0.0081268863639429,0.006825938566553,0.668693009118541,-0.0237464573639642,B0
DOTUSDT,4+,240,329,0.007728963239349,0.0056872037914692,0.6139817629179332,-0.0330077116325888,B0
DOTUSDT,4+,1440,328,-0.0012840515766629,0.005786944065119,0.5762195121951219,-0.0791007088935822,B0
HBARUSDT,1-2,5,10111,2.9952651433889928e-05,0.0,0.4872910691326278,-0.0039342745254948,B0
HBARUSDT,1-2,15,10111,3.011242868417508e-05,0.0,0.4890713084759173,-0.0056473543570817,B0
HBARUSDT,1-2,30,10111,4.971800046059801e-05,0.0001064282673477,0.5010384729502522,-0.0077799182842434,B0
HBARUSDT,1-2,60,10111,0.0001669123418468,0.0001089205968847,0.5022252991791119,-0.0101850283023108,B0
HBARUSDT,1-2,120,10111,0.0004414231330234,0.0002587991718425,0.5124122243101572,-0.0137355120658078,B0
HBARUSDT,1-2,240,10108,0.0005482805599582,-0.0001401658022944,0.4908982983775227,-0.0179172189499444,B0
HBARUSDT,1-2,1440,10065,0.0021226521290891,-0.0021613832853025,0.4624937903626428,-0.0366613653121103,B0
HBARUSDT,2-3,5,2075,5.694266122466812e-05,0.0001050972149236,0.5012048192771085,-0.0051936814487955,B0
HBARUSDT,2-3,15,2075,7.926474687862602e-05,0.0,0.4901204819277108,-0.0070535855651227,B0
HBARUSDT,2-3,30,2075,0.0001444139852204,-0.0001148897058824,0.4881927710843373,-0.0088789096423351,B0
HBARUSDT,2-3,60,2075,0.0003243985879439,-0.0002968680421553,0.4814457831325301,-0.0116026050792388,B0
HBARUSDT,2-3,120,2075,0.0002232527032453,-0.0002853881278539,0.4848192771084337,-0.0165070888085436,B0
HBARUSDT,2-3,240,2075,0.0007517768375209,0.000459136822773,0.5142168674698795,-0.0222277383559284,B0
HBARUSDT,2-3,1440,2072,0.0016301423061133,-0.0027430469515736,0.4531853281853282,-0.0444010390383722,B0
HBARUSDT,3-4,5,632,0.00033107727745,0.0002901487284003,0.5332278481012658,-0.005922237944139,B0
HBARUSDT,3-4,15,632,0.0005593617993995,0.0005495728116208,0.5443037974683544,-0.0080163214532369,B0
HBARUSDT,3-4,30,632,0.0010282936111897,0.0009218638262579,0.5617088607594937,-0.0116007386657992,B0
HBARUSDT,3-4,60,632,0.001315394717292,0.0005018505838536,0.5221518987341772,-0.0163117901966229,B0
HBARUSDT,3-4,120,632,0.0007063191807389,0.0001844570220336,0.504746835443038,-0.0237312840512628,B0
HBARUSDT,3-4,240,632,0.0002280361588687,0.0003067460284067,0.5079113924050633,-0.0261768328150086,B0
HBARUSDT,3-4,1440,632,-0.0007292024652696,-0.0021261835539423,0.4556962025316455,-0.0532990502267476,B0
HBARUSDT,4+,5,316,8.568425281841783e-05,0.0004585774892169,0.5443037974683544,-0.009050956597378,B0
HBARUSDT,4+,15,316,0.0003861701587297,0.0010256495747265,0.5506329113924051,-0.0146916522603255,B0
HBARUSDT,4+,30,316,0.0001331583648429,-6.26487908784168e-05,0.4936708860759494,-0.0217125604207627,B0
HBARUSDT,4+,60,316,-0.0002556457875668,0.0006608449728632,0.5189873417721519,-0.0404602665565916,B0
HBARUSDT,4+,120,316,-0.0034484360867261,-0.0004718673740407,0.4873417721518987,-0.060053502104536,B0
HBARUSDT,4+,240,316,-0.0064124063916298,-0.0016431878705318,0.4683544303797468,-0.0861912191943623,B0
HBARUSDT,4+,1440,316,-0.0111703502347498,-0.0108001857474294,0.4430379746835443,-0.1089487352894912,B0
XLMUSDT,1-2,5,9660,-1.5819232736651283e-05,-5.304478187528883e-05,0.4863354037267081,-0.0055553897181776,B0
