rank,strategy,period,return,start_equity,end_equity
3,v3_selected_3_MEDIAN_15m_2bp,2026-05,-0.033205884291537924,98201.2359990984,94940.37711922632
3,v3_selected_3_MEDIAN_15m_2bp,2026-06,-0.020146657502253085,94940.37711922632,93027.64585827052
3,v3_selected_3_MEDIAN_15m_2bp,2026-07,-0.017831514232324652,93027.64585827052,91368.82206714911
3,v3_selected_3_MEDIAN_15m_2bp,2026-08,-0.015913691825133025,91368.82206714911,89914.8067903471
4,v3_selected_4_RIDGE_15m_2bp,formation,-0.012648781799669218,100000.0,98735.12182003308
4,v3_selected_4_RIDGE_15m_2bp,valid,-0.04038571560993143,98735.12182003308,94747.63326949728
4,v3_selected_4_RIDGE_15m_2bp,holdout,-0.025699975129370944,94747.63326949728,92312.62145090444
4,v3_selected_4_RIDGE_15m_2bp,2026-03,0.0,100000.0,100000.0
4,v3_selected_4_RIDGE_15m_2bp,2026-04,-0.012648781799669218,100000.0,98735.12182003308
4,v3_selected_4_RIDGE_15m_2bp,2026-05,-0.017776170460011897,98735.12182003308,96979.98946417012
4,v3_selected_4_RIDGE_15m_2bp,2026-06,-0.02301873001850141,96979.98946417012,94747.63326949728
4,v3_selected_4_RIDGE_15m_2bp,2026-07,-0.01175547901685181,94747.63326949728,93633.82945470134
4,v3_selected_4_RIDGE_15m_2bp,2026-08,-0.014110370274197481,93633.82945470134,92312.62145090444
5,v3_selected_5_PCA3_15m_2bp,formation,-0.005758774591749005,100000.0,99424.1225408251
5,v3_selected_5_PCA3_15m_2bp,valid,-0.06313691748373207,99424.1225408251,93146.78992007257
5,v3_selected_5_PCA3_15m_2bp,holdout,-0.03220696966317038,93146.78992007257,90146.81408289509
5,v3_selected_5_PCA3_15m_2bp,2026-03,0.0,100000.0,100000.0
5,v3_selected_5_PCA3_15m_2bp,2026-04,-0.005758774591749005,100000.0,99424.1225408251
5,v3_selected_5_PCA3_15m_2bp,2026-05,-0.03438976208328259,99424.1225408251,96004.950621307
5,v3_selected_5_PCA3_15m_2bp,2026-06,-0.029770972046103017,96004.950621307,93146.78992007257
5,v3_selected_5_PCA3_15m_2bp,2026-07,-0.007876466484867062,93146.78992007257,92413.12235109416
