symbol,band,minutes,n,mean,median,positive_rate,q05,model
AVAXUSDT,4+,30,373,0.0010495851071504773,0.0007941910596778179,0.5388739946380697,-0.01853138492177444,B2
AVAXUSDT,4+,60,373,0.002249790529011745,0.0014634146341463428,0.5442359249329759,-0.017380739001830924,B2
AVAXUSDT,4+,120,373,0.003575948573062364,0.00243695698241142,0.579088471849866,-0.019162136626959404,B2
AVAXUSDT,4+,240,373,0.0021101107835374174,0.002247551773960632,0.5630026809651475,-0.02442451491261737,B2
AVAXUSDT,4+,1440,373,-0.00486762665359056,-0.0008782522779667845,0.48257372654155495,-0.07908549422930852,B2
LTCUSDT,1-2,5,9236,6.663744226508737e-05,0.0,0.48116067561715026,-0.0030938043183857122,B2
LTCUSDT,1-2,15,9236,6.990194123629186e-05,0.0,0.4931788653096579,-0.004452213103496305,B2
LTCUSDT,1-2,30,9235,9.108531531397929e-05,0.0001851166234727586,0.5059014618299946,-0.0059867236950277404,B2
LTCUSDT,1-2,60,9235,0.0001136764999380373,0.0001851166234727586,0.505468327016784,-0.008393013307788954,B2
LTCUSDT,1-2,120,9232,0.0001021396919316055,0.0002267316893019844,0.5132149046793761,-0.01158712006438018,B2
LTCUSDT,1-2,240,9227,0.00019483254987028354,0.0004399472063352228,0.5172862252086269,-0.015359567778922667,B2
LTCUSDT,1-2,1440,9194,-4.5257990400494733e-05,0.0,0.4967370023928649,-0.03579724106857785,B2
LTCUSDT,2-3,5,1675,-0.00014156313397086504,0.0,0.4614925373134328,-0.004358374717789959,B2
LTCUSDT,2-3,15,1675,-9.013088990857638e-06,0.0,0.49671641791044774,-0.006037790898798223,B2
LTCUSDT,2-3,30,1675,5.0835049505172616e-05,0.0,0.4961194029850746,-0.007649192765666434,B2
LTCUSDT,2-3,60,1675,0.0002670003724566518,0.0,0.4991044776119403,-0.00901986098842451,B2
LTCUSDT,2-3,120,1675,0.0004311581208675104,-0.00018950161076380923,0.48835820895522386,-0.011859582490629062,B2
LTCUSDT,2-3,240,1675,0.0007783686416597405,0.000904159132007365,0.5391044776119402,-0.01767321885935432,B2
LTCUSDT,2-3,1440,1675,0.0006552426139071347,0.0,0.49970149253731344,-0.03715769385364365,B2
LTCUSDT,3-4,5,415,8.851701958152463e-06,0.0,0.4891566265060241,-0.005143200064039122,B2
LTCUSDT,3-4,15,415,-0.00012272199497424417,-0.00019040365575029305,0.4578313253012048,-0.007996302475978732,B2
LTCUSDT,3-4,30,415,0.000478507511818207,-0.00019980019980014863,0.472289156626506,-0.008748898995720322,B2
LTCUSDT,3-4,60,415,0.0011629938634551001,0.0006616674018524726,0.5253012048192771,-0.011155316951071659,B2
LTCUSDT,3-4,120,415,0.0013761394879422924,0.0002211410880141873,0.5060240963855421,-0.014669547877058885,B2
LTCUSDT,3-4,240,415,0.00023447442557386828,0.000921998893601339,0.5204819277108433,-0.019371560210853365,B2
LTCUSDT,3-4,1440,415,-9.999669143234155e-05,0.0009587727708533222,0.5132530120481927,-0.03773736999154903,B2
LTCUSDT,4+,5,265,5.602800849460271e-05,0.0,0.49433962264150944,-0.006141889252096532,B2
LTCUSDT,4+,15,265,-2.2468086455316297e-05,0.00036238448994385664,0.5245283018867924,-0.008397994449047564,B2
LTCUSDT,4+,30,265,-0.00016677604710942489,-0.00024384296513035864,0.4716981132075472,-0.011285554660842823,B2
LTCUSDT,4+,60,265,0.0002845061760354976,-0.00047630388187669404,0.47547169811320755,-0.01545416959372432,B2
LTCUSDT,4+,120,265,0.0004602865810888153,-0.001296296296296351,0.44528301886792454,-0.01656414576393337,B2
LTCUSDT,4+,240,265,-0.0015905474426428277,-0.003953350464518723,0.3584905660377358,-0.027984086191558788,B2
LTCUSDT,4+,1440,265,-0.007620365229481184,-0.003943908851884337,0.4188679245283019,-0.037842508398115336,B2
BCHUSDT,1-2,5,6793,-3.053867819384904e-05,2.1905325184423674e-05,0.5005152362726336,-0.004378823485392536,B2
BCHUSDT,1-2,15,6793,-7.436187480330812e-05,0.0,0.4935963491829825,-0.006183223033819551,B2
BCHUSDT,1-2,30,6793,-9.861984203811992e-05,0.0,0.4991903430001472,-0.008229563319689737,B2
BCHUSDT,1-2,60,6793,-8.485578483989552e-05,4.7650814828825716e-05,0.5040482849992639,-0.011467916840354175,B2
BCHUSDT,1-2,120,6793,-0.0002613045668359722,-0.00026343519494209655,0.4834388340939202,-0.014648451417593744,B2
BCHUSDT,1-2,240,6793,-0.0004290547900211733,-0.0005658775818164763,0.4693066391873988,-0.022460962319942768,B2
BCHUSDT,1-2,1440,6788,-0.0020773676187658247,-0.0045599504183651,0.41116676487919857,-0.05386700508548941,B2
BCHUSDT,2-3,5,1383,-0.0001258626109490808,-4.5278576441543095e-05,0.48300795372378885,-0.005783414884372828,B2
BCHUSDT,2-3,15,1383,-2.9214130194198265e-05,0.0,0.49746926970354305,-0.008180954993834354,B2
BCHUSDT,2-3,30,1383,-0.00027775471614163504,-0.00017938024126651353,0.485177151120752,-0.01254354031185607,B2
BCHUSDT,2-3,60,1383,-0.0003958482796465401,8.52623950207132e-05,0.5046999276934201,-0.01601256592446336,B2
BCHUSDT,2-3,120,1383,-0.00035618981096752813,-3.067202404682945e-05,0.49891540130151846,-0.02697893546691237,B2
BCHUSDT,2-3,240,1383,-0.00037139248593130194,-0.0005387931034482873,0.4786695589298626,-0.03314292584078271,B2
BCHUSDT,2-3,1440,1383,0.002102288678500495,0.0007861635220125507,0.5119305856832972,-0.0593244006815484,B2
BCHUSDT,3-4,5,438,0.00047554509631440075,0.00039920920578762065,0.545662100456621,-0.006736896121139924,B2
BCHUSDT,3-4,15,438,0.0001783540505222455,0.0002861210492478561,0.5205479452054794,-0.010110936647607455,B2
BCHUSDT,3-4,30,438,0.00044167050904783206,0.0003541805087239336,0.5319634703196348,-0.014505360110236848,B2
BCHUSDT,3-4,60,438,0.001155918134447629,0.0007471036543295062,0.5228310502283106,-0.020559276064972477,B2
BCHUSDT,3-4,120,438,0.0013250951906749982,0.0001566885429081788,0.5068493150684932,-0.03495584769966656,B2
BCHUSDT,3-4,240,438,0.0008696784168093043,-0.0015798093526872559,0.4520547945205479,-0.033145865159014264,B2
BCHUSDT,3-4,1440,438,0.0021203620843830958,0.0006072531677616677,0.5114155251141552,-0.058503954063497586,B2
BCHUSDT,4+,5,516,0.0002497619183723559,-0.0001594912926847214,0.4806201550387597,-0.007917868378997439,B2
BCHUSDT,4+,15,516,0.0007009826015228146,0.00010346849024156501,0.5058139534883721,-0.012797951046486455,B2
BCHUSDT,4+,30,516,0.0013482933272402585,-0.0002860620103024014,0.47674418604651164,-0.012968205073901673,B2
BCHUSDT,4+,60,516,0.002311951560867239,-0.00032785778004112975,0.4786821705426357,-0.0160957074676277,B2
BCHUSDT,4+,120,516,0.0010212245917054419,-0.002015911008809268,0.4496124031007752,-0.024885017519690023,B2
BCHUSDT,4+,240,516,-0.003594031671564593,-0.0033108630006025708,0.4186046511627907,-0.042979371456918436,B2
BCHUSDT,4+,1440,516,0.004085460421507751,-0.0052440408179553755,0.46124031007751937,-0.051932600281308555,B2
DOTUSDT,1-2,5,9169,-2.536108335401714e-05,0.0,0.4378885374631912,-0.004616097405974817,B2
DOTUSDT,1-2,15,9167,-5.6532302346924305e-05,0.0,0.4460565070361078,-0.006851208908480455,B2
DOTUSDT,1-2,30,9167,2.078835779914088e-05,0.0,0.4684193302061743,-0.0089562782780935,B2
DOTUSDT,1-2,60,9167,0.00018658139911405767,0.0,0.4888185884149667,-0.011848341232227444,B2
DOTUSDT,1-2,120,9164,0.0003693975905316241,0.0,0.49596246180707115,-0.015330623774933737,B2
DOTUSDT,1-2,240,9158,0.0002825528976013981,0.0,0.49017252675256606,-0.02080500000000004,B2
DOTUSDT,1-2,1440,9118,-0.002025300118976643,-0.002421309083328882,0.4586532134239965,-0.05357384006616086,B2
DOTUSDT,2-3,5,1824,-0.00010816276149770131,0.0,0.4440789473684211,-0.005793881273659784,B2
DOTUSDT,2-3,15,1824,-0.00014639408684688883,0.0,0.4594298245614035,-0.008079533856603049,B2
