strategy,horizon_min,fee_bp,trades,allocation_per_pair,mean_price_bp,mean_funding_bp,mean_gross_bp,return,may_jun_return,jul_aug_return,max_drawdown,win_rate,break_even_one_way_bp
cross_sectional_q5,30.0,1.0,8830,1.0,0.7479796553998088,0.0,0.7479796553998088,-0.6717730690963479,-0.3142243073929446,-0.39412648456463895,-0.6890590364903839,0.45968289920724803,0.3739898276999044
sign_reversal,30.0,2.0,8831,1.0,1.0110147397495073,0.0,1.0110147397495073,-0.9314185508188203,-0.6262533153286818,-0.6337407381987029,-0.9328607638352653,0.40867398935567884,0.5055073698747536
cross_sectional_q5,30.0,2.0,8830,1.0,0.7479796553998088,0.0,0.7479796553998088,-0.9438905611062177,-0.6182309926492369,-0.6659432120693727,-0.9443872534004637,0.3795016987542469,0.3739898276999044
sign_reversal,30.0,3.0,8831,1.0,1.0110147397495073,0.0,1.0110147397495073,-0.9882822901681592,-0.7919622795143825,-0.7980785224048568,-0.9884584113374011,0.3599818820065678,0.5055073698747536
cross_sectional_q5,30.0,3.0,8830,1.0,0.7479796553998088,0.0,0.7479796553998088,-0.9904116440955366,-0.7874953920640138,-0.815835085153654,-0.9904206216636241,0.3053227633069083,0.3739898276999044
sign_reversal,30.0,5.0,8831,1.0,1.0110147397495073,0.0,1.0110147397495073,-0.9996582927934657,-0.935565452910395,-0.9386499345552684,-0.9996604335446669,0.2791303363152531,0.5055073698747536
cross_sectional_q5,30.0,5.0,8830,1.0,0.7479796553998088,0.0,0.7479796553998088,-0.9997202952380618,-0.9341810513069827,-0.9440468172964427,-0.9997203335412568,0.1856172140430351,0.3739898276999044
sign_reversal,60.0,0.0,4415,1.0,0.1429020850481758,0.0,0.1429020850481758,0.024428412261169097,-0.0855715566866535,0.09679876606792326,-0.394856834027175,0.5143827859569648,0.0714510425240879
cross_sectional_q5,60.0,0.0,4414,1.0,0.29110289478435847,0.0,0.29110289478435847,0.12783204681768878,-0.09004219916904577,0.04365345300301349,-0.15961786698327463,0.5321703670140462,0.14555144739217923
sign_reversal,60.0,0.5,4415,1.0,0.1429020850481758,0.0,0.1429020850481758,-0.341235227457343,-0.21011979659759628,-0.05484222790778581,-0.5280563389985212,0.48901472253680633,0.0714510425240879
cross_sectional_q5,60.0,0.5,4414,1.0,0.29110289478435847,0.0,0.29110289478435847,-0.2746591619737522,-0.2139809207715514,-0.10064362615028632,-0.3392614889313935,0.5045310376076122,0.14555144739217923
sign_reversal,60.0,1.0,4415,1.0,0.1429020850481758,0.0,0.1429020850481758,-0.5763961086489586,-0.3177141383284896,-0.18552979097857447,-0.6735218027482982,0.46296715741789357,0.0714510425240879
cross_sectional_q5,60.0,1.0,4414,1.0,0.29110289478435847,0.0,0.29110289478435847,-0.5335332890685078,-0.3210487954875052,-0.22500151023676085,-0.5537434799457142,0.47417308563661076,0.14555144739217923
sign_reversal,60.0,2.0,4415,1.0,0.1429020850481758,0.0,0.1429020850481758,-0.8248696006318379,-0.4909533651732829,-0.3952197541564675,-0.848339731958097,0.42355605889014725,0.0714510425240879
cross_sectional_q5,60.0,2.0,4414,1.0,0.29110289478435847,0.0,0.29110289478435847,-0.807105353185396,-0.49344054282744965,-0.42453417182425723,-0.8087580795947237,0.4154961486180335,0.14555144739217923
sign_reversal,60.0,3.0,4415,1.0,0.1429020850481758,0.0,0.1429020850481758,-0.9276087000580113,-0.6202276755633347,-0.5509505969554251,-0.9338660619555301,0.38663646659116646,0.0714510425240879
cross_sectional_q5,60.0,3.0,4414,1.0,0.29110289478435847,0.0,0.29110289478435847,-0.9202477475367774,-0.6220826450984922,-0.5727202066964443,-0.9206169722364722,0.360444041685546,0.14555144739217923
sign_reversal,60.0,5.0,4415,1.0,0.1429020850481758,0.0,0.1429020850481758,-0.9876375186869567,-0.7886616145986335,-0.752480435456742,-0.9881836247938132,0.31619479048697624,0.0714510425240879
cross_sectional_q5,60.0,5.0,4414,1.0,0.29110289478435847,0.0,0.29110289478435847,-0.9863743198700861,-0.7896932346136756,-0.7644840427677867,-0.986426570517935,0.25917535115541457,0.14555144739217923
sign_reversal,240.0,0.0,1103,1.0,-1.4461015491827907,0.0,-1.4461015491827907,-0.17257401148760443,-0.053544815900618214,0.10764184368852647,-0.34451388472271904,0.5113327289211242,-0.7230507745913953
cross_sectional_q5,240.0,0.0,1102,1.0,1.8458221478002346,0.0,1.8458221478002346,0.21537135003447228,0.08682821136207863,0.04802593651445708,-0.09527685174936862,0.5499092558983666,0.9229110739001173
sign_reversal,240.0,0.5,1103,1.0,-1.4461015491827907,0.0,-1.4461015491827907,-0.2590062349673723,-0.08756676143720865,0.06720273510112507,-0.37532513778807397,0.499546690843155,-0.7230507745913953
