selection_rank,cost_bp,model,frequency_min,center_hours,scale_days,center_kind,logic,entry_sigma,exit_sigma,hold_hours,exit_rule,period,return,start_equity,end_equity,max_drawdown,sharpe_daily,trades,win_rate,profit_factor,net_pnl,gross_price_pnl,funding_cashflow,net_pnl_including_funding,fees,turnover,break_even_bp,median_hold_min,period_gross_fees,period_net_fees_reference
5,1.0,PCA3,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.04453699686985624,100291.06468917796,95824.40185504149,-0.05112639522690565,-4.573301854067601,983,0.5879959308240081,0.7742895656049164,-4470.245597542709,-2534.295340735726,3.5827634065829295,-4466.662834136127,1935.9502568069838,19359502.568069838,-1.3090704845462346,150.0,1935.9502568069868,1794.3579159442916
5,1.0,PCA3,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.012529461208243498,95824.40185504149,94623.77372919561,-0.026894453805696772,-2.515491540606308,1006,0.6053677932405567,0.9197665380196537,-1234.3115825132743,692.3852327756631,33.683456667248365,-1200.628125846026,1926.6968152889372,19266968.15288937,0.35936387462800135,150.0,1926.6968152889392,1783.699811926511
5,2.0,PCA3,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.06313691748373207,99424.1225408251,93146.78992007257,-0.0665761470154348,-6.499607128271317,983,0.5574771108850458,0.6897526514960662,-6280.850058325909,-2479.455058255232,3.5174375732925527,-6277.332620752617,3801.3950000706764,19006975.00035338,-1.3044974585430524,150.0,3801.395000070675,3523.5135165196243
5,2.0,PCA3,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.03220696966317049,93146.78992007257,90146.81408289507,-0.039064955330784135,-6.505913558913087,1006,0.5705765407554672,0.8050196376944952,-3032.367669408601,676.090466022404,32.39183223124122,-2999.97583717736,3708.458135431005,18542290.677155025,0.36462078919697843,150.0,3708.458135431009,3433.2027229716905
5,3.0,PCA3,15,4,7,sma,band,2.0,0.5,4,band,valid,-0.08137565649932288,98564.63336337256,90543.87161581306,-0.08306102229990708,-8.382730397897404,983,0.525940996948118,0.6126694141228867,-8024.215807202112,-2425.7807974935668,3.4540596426989465,-8020.761747559413,5598.435009708546,18661450.032361817,-1.2998886974414585,150.0,5598.435009708543,5189.407040418461
5,3.0,PCA3,15,4,7,sma,band,2.0,0.5,4,band,holdout,-0.051493298271806154,90543.87161581306,85881.46902801587,-0.05602599538259412,-10.392096635133177,1006,0.5347912524850894,0.7019441324739502,-4693.553105220644,660.0778825817777,31.150517423717943,-4662.402587796926,5353.630987802424,17845436.62600808,0.3698860926830868,150.0,5353.630987802421,4956.238706077715
6,0.0,B0,15,4,7,median,median,2.0,0.5,4,band,valid,0.07816070262136621,105228.80292360629,113453.56009612064,-0.04082794493562758,3.43574444600518,757,0.6327608982826949,1.1779541419942137,8187.75329713203,8187.75329713203,37.00387538217715,8224.757172514206,0.0,16310757.03191616,5.01984872995815,120.0,0.0,0.0
6,0.0,B0,15,4,7,median,median,2.0,0.5,4,band,holdout,-0.006433744108699901,113453.56009612064,112723.62892224119,-0.06953357201693,-0.2560946826945158,794,0.6272040302267002,0.9804202179946626,-828.3393722065002,-828.3393722065002,98.4081983270456,-729.9311738794546,0.0,18392688.406165943,-0.45036340197488955,120.0,0.0,0.0
6,1.0,B0,15,4,7,median,median,2.0,0.5,4,band,valid,0.06196684171856437,104051.29619789644,110499.02640000296,-0.04163790532234224,2.751223754347529,757,0.6248348745046235,1.1401833644680588,6411.280568055163,8011.873482268351,36.44963405156685,6447.73020210673,1600.5929142131893,16005929.142131893,5.005566006898627,120.0,1600.5929142131895,1600.5929142131895
6,1.0,B0,15,4,7,median,median,2.0,0.5,4,band,holdout,-0.02209432103317932,110499.02640000296,108057.62543686753,-0.07301666638603943,-1.030675779508357,794,0.6221662468513854,0.9388795264179428,-2536.419168616454,-759.1994686490261,95.0182054812117,-2441.4009631352424,1777.2196999674281,17772196.999674283,-0.42718380212808815,120.0,1777.2196999674265,1777.2196999674265
