model,frequency_min,center_hours,scale_days,center_kind,logic,entry_sigma,exit_sigma,hold_hours,exit_rule,stage,cost_bp,train_return,train_start_equity,train_end_equity,train_max_drawdown,train_sharpe_daily,train_trades,train_win_rate,train_profit_factor,train_net_pnl,train_gross_price_pnl,train_funding_cashflow,train_net_pnl_including_funding,train_fees,train_turnover,train_break_even_bp,train_median_hold_min,valid_return,valid_start_equity,valid_end_equity,valid_max_drawdown,valid_sharpe_daily,valid_trades,valid_win_rate,valid_profit_factor,valid_net_pnl,valid_gross_price_pnl,valid_funding_cashflow,valid_net_pnl_including_funding,valid_fees,valid_turnover,valid_break_even_bp,valid_median_hold_min,holdout_return,holdout_start_equity,holdout_end_equity,holdout_max_drawdown,holdout_sharpe_daily,holdout_trades,holdout_win_rate,holdout_profit_factor,holdout_net_pnl,holdout_gross_price_pnl,holdout_funding_cashflow,holdout_net_pnl_including_funding,holdout_fees,holdout_turnover,holdout_break_even_bp,holdout_median_hold_min,all_return,all_start_equity,all_end_equity,all_max_drawdown,all_sharpe_daily,all_trades,all_win_rate,all_profit_factor,all_net_pnl,all_gross_price_pnl,all_funding_cashflow,all_net_pnl_including_funding,all_fees,all_turnover,all_break_even_bp,all_median_hold_min,funding_cash,all_gross_fees,all_net_fees_reference,run_index
RIDGE,15,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,-0.012648781799669107,100000.0,98735.12182003309,-0.014888463742540603,-3.3124561552895266,457,0.5929978118161926,0.7646955359155814,-1283.4693361704983,530.7768320160751,18.591156203570034,-1264.8781799669282,1814.2461681865739,9071230.840932868,0.5851210726784801,135.0,-0.04038571560993176,98735.12182003309,94747.63326949727,-0.04087610207130132,-5.522090122190418,991,0.5691220988900101,0.7679654628059639,-3989.4424992779686,-150.3022890565048,1.9539487423726287,-3987.488550535596,3839.1402102214633,19195701.051107317,-0.07829997386203016,135.0,-0.025699975129370833,94747.63326949727,92312.62145090444,-0.036856799827953424,-4.874575470639778,993,0.5850956696878147,0.825554791240097,-2466.261335622156,1244.957837488142,31.249517029599975,-2435.0118185925558,3711.2191731102985,18556095.86555149,0.6709158254562304,135.0,-0.07687378549095558,100000.0,92312.62145090444,-0.08832953517226694,-4.638232203762978,2441,0.5800901269971324,0.789613827765734,-7739.1731710706235,1625.4323804477124,51.79462197554261,-7687.378549095081,9364.605551518336,46823027.75759168,0.34714380045279575,135.0,51.79462197554261,9364.605551518347,8856.059000261965,11
RIDGE,60,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,-0.003800400250463243,100000.0,99619.95997495367,-0.007984986271585837,-1.330034078965095,258,0.6124031007751938,0.8883986603186681,-398.12393899389224,630.8460505210749,18.083913947640614,-380.0400250462516,1028.9699895149668,5144849.947574833,1.226169969871408,180.0,-0.022512709360329453,99619.95997495367,97377.24476954988,-0.03270558779331323,-3.0753636105468063,588,0.5578231292517006,0.8134590799207012,-2237.4752725662984,77.03390037749648,-5.239932837629694,-2242.715205403928,2314.5091729437945,11572545.864718974,0.06656607913073687,180.0,-0.01503165124501904,97377.24476954988,95913.50398697316,-0.02398395111141216,-3.2221672827264394,583,0.5334476843910806,0.8456215653029645,-1492.1408172241809,762.931609226456,28.400034647371662,-1463.7407825768091,2255.0724264506366,11275362.132253183,0.6766360142385933,240.0,-0.04086496013026841,100000.0,95913.50398697316,-0.04743379252756674,-2.6169197476681276,1429,0.5577326801959412,0.8363787316535816,-4127.740028784371,1470.8115601250267,41.24401575738259,-4086.4960130269887,5598.551588909399,27992757.94454699,0.5254257415573952,180.0,41.24401575738259,5598.5515889093995,4961.692047589209,12
PCA3,5,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,-0.006923805518698534,100000.0,99307.61944813015,-0.011705717354829948,-1.6977468080481137,577,0.6273830155979203,0.8886353384967285,-701.1998338406333,1594.4360054306726,8.819281971106157,-692.3805518695272,2295.635839271306,11478179.196356531,1.3891018585393644,110.0,-0.08091777314419801,99307.61944813015,91271.86802613601,-0.0812300575654612,-7.525656995854445,1230,0.5691056910569106,0.651266875455431,-8042.8935220242365,-3345.8484999788598,7.142100030595124,-8035.751421993641,4697.045022045377,23485225.11022688,-1.424661030190371,125.0,-0.04769926758053222,91271.86802613601,86918.26677058233,-0.056518779511555595,-6.77935866743136,1237,0.5836701697655619,0.7496480105359549,-4386.852483903916,27.38986174990498,33.25122835039575,-4353.601255553521,4414.242345653822,22071211.728269108,0.012409768021401233,125.0,-0.1308173322941767,100000.0,86918.26677058233,-0.1394626411560863,-5.7129503577073075,3044,0.5860709592641261,0.719917044161397,-13130.945839768785,-1724.0226327982823,49.212610352097045,-13081.733229416688,11406.923206970503,57034616.03485252,-0.3022765388207001,120.0,49.212610352097045,11406.923206970541,11046.854341635257,13
PCA3,15,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,-0.005758774591749005,100000.0,99424.1225408251,-0.012204349747694132,-1.699310182300426,434,0.5921658986175116,0.8862913859358532,-591.3449096031417,1134.7061292119115,15.467450427968403,-575.8774591751733,1726.0510388150533,8630255.194075268,1.3148002042754139,135.0,-0.06313691748373207,99424.1225408251,93146.78992007257,-0.0665761470154348,-6.499607128271317,983,0.5574771108850458,0.6897526514960662,-6280.850058325909,-2479.455058255232,3.5174375732925527,-6277.332620752617,3801.3950000706764,19006975.00035338,-1.3044974585430524,150.0,-0.03220696966317049,93146.78992007257,90146.81408289507,-0.039064955330784135,-6.505913558913087,1006,0.5705765407554672,0.8050196376944952,-3032.367669408601,676.090466022404,32.39183223124122,-2999.97583717736,3708.458135431005,18542290.677155025,0.36462078919697843,150.0,-0.09853185917104934,100000.0,90146.81408289507,-0.10334105516242331,-5.040165452424114,2423,0.5691291787040859,0.7584096970548961,-9904.56263733765,-668.6584630209168,51.3767202325021,-9853.18591710515,9235.904174316736,46179520.87158368,-0.1447954527030124,135.0,51.3767202325021,9235.904174316749,8560.465688596203,14
PCA3,60,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,-0.0031819843242933965,100000.0,99681.80156757066,-0.006603571664494878,-1.2520268942884383,241,0.5477178423236515,0.9053869556347717,-328.6600080483578,632.5473365794477,10.46157561894822,-318.19843242940954,961.2073446278054,4806036.723139026,1.3161516921708085,180.0,-0.019639837536166938,99681.80156757066,97724.06717947114,-0.033124825361688814,-2.5593711994107147,574,0.5627177700348432,0.8470421727684628,-1956.774720727301,307.9863122689833,-0.9596673722739719,-1957.734388099575,2264.761032996284,11323805.164981421,0.2719812887821694,240.0,-0.023336648641263835,97724.06717947114,95443.51495990856,-0.032355159969334246,-3.8874977612331505,588,0.532312925170068,0.7816522881942131,-2307.5585199111856,-38.463410753708274,27.006300348778726,-2280.5522195624067,2269.095109157477,11345475.545787387,-0.03390198198257972,180.0,-0.0455648504009144,100000.0,95443.51495990856,-0.05374309619302153,-2.655851701629231,1403,0.5473984319315752,0.8288425817209683,-4592.993248686844,902.0702380947225,36.50820859545297,-4556.485040091391,5495.063486781567,27475317.433907837,0.3283202242393239,180.0,36.50820859545297,5495.063486781567,4715.263185600908,15
PCA1,15,4,7,sma,band,2.0,0.5,4,band,factor_control,2.0,-0.015114191678949673,100000.0,98488.58083210503,-0.019133130758103523,-3.1342061972228668,414,0.5555555555555556,0.7374290303318873,-1526.2936171791882,110.8143825166178,14.874449284036661,-1511.4191678951515,1637.107999695806,8185539.99847903,0.13537821883126638,142.5,-0.05911998920670647,98488.58083210503,92665.93699632715,-0.06698161109504852,-5.442798500393693,994,0.5674044265593562,0.7335341067837982,-5822.417632048316,-1999.4254314308753,-0.22620372940013486,-5822.643835777716,3822.992200617441,19114961.003087204,-1.0460002670724537,142.5,-0.03039266229586235,92665.93699632715,89849.57246686812,-0.04039846585099638,-5.760199943959784,1015,0.5684729064039409,0.8266156282112599,-2849.269932455329,871.3058655933296,32.90540299627026,-2816.3645294590588,3720.5757980486587,18602878.990243293,0.46837151714544073,150.0,-0.10150427533131878,100000.0,89849.57246686812,-0.10794618638358722,-4.618159512183962,2423,0.5658274865868758,0.7687357177910902,-10197.981181682833,-1017.3051833209274,47.5536485509068,-10150.427533131926,9180.675998361905,45903379.99180953,-0.22161879659023878,150.0,47.5536485509068,9180.675998361909,8461.919351202643,16
PCA5,15,4,7,sma,band,2.0,0.5,4,band,factor_control,2.0,-0.011998007082844375,100000.0,98800.19929171556,-0.014621652415405362,-3.393212813642781,432,0.6203703703703703,0.7798609813691897,-1216.703241924063,495.56165800839983,16.902533639681092,-1199.800708284382,1712.2648999324629,8561324.499662314,0.5788376062932159,135.0,-0.03823104538099065,98800.19929171556,95022.96438894306,-0.04545528594501147,-4.704391445705661,989,0.5813953488372093,0.8005510970628903,-3779.192858129278,71.91864426813822,1.95795535654397,-3777.234902772734,3851.111502397416,19255557.511987083,0.03734955179737954,135.0,-0.03077790321546381,95022.96438894306,92098.3567877337,-0.04083945956648716,-5.84744427429062,1001,0.5834165834165834,0.8108346446676633,-2956.1403199929714,787.2038559818507,31.532718783844228,-2924.607601209127,3743.344175974822,18716720.87987411,0.42058855342995605,135.0,-0.07901643212266296,100000.0,92098.3567877337,-0.08915763463728665,-4.535449417365024,2422,0.5891824938067712,0.8017068899375743,-7952.036420046312,1354.6841582583882,50.39320778006928,-7901.643212266243,9306.7205783047,46533602.89152351,0.2911195510513877,135.0,50.39320778006928,9306.720578304716,8707.721130710004,17
AR1,15,4,7,sma,band,2.0,0.5,4,band,ar1_control,2.0,-0.002971341451265763,100000.0,99702.86585487342,-0.04668659821868271,-0.20758823493240042,1408,0.5440340909090909,0.9899426222345966,-280.3496323833581,5283.414854248086,-16.784512742915066,-297.13414512627315,5563.764486631444,27818822.43315722,1.899223041141666,30.0,-0.039946698386044366,99702.86585487342,95720.06554434456,-0.049544688645286494,-1.7940356758196416,1737,0.5215889464594128,0.932772326725571,-4011.6189400112135,2780.908136869554,28.818629482871373,-3982.800310528342,6792.527076880768,33962635.38440384,0.8188140011498015,30.0,-0.07944552324187604,95720.06554434456,88115.53485242743,-0.10203310222256501,-4.384715064711227,1949,0.4935864545920985,0.8295520104966757,-7619.270380504438,-426.85283406133203,14.739688586918598,-7604.53069191752,7192.417546443105,35962087.73221552,-0.1186952318340932,30.0,-0.11884465147572565,100000.0,88115.53485242743,-0.14830638798311713,-2.2854216396077702,5094,0.5170789163722026,0.9099329665520975,-11911.238952899008,7637.47015705631,26.773805326874882,-11884.465147572133,19548.709109955314,97743545.54977658,0.7813784648487991,30.0,26.773805326874882,19548.709109955293,19548.709109955293,18
AR1,60,4,7,sma,band,2.0,0.5,4,band,ar1_control,2.0,-0.03515535281528126,100000.0,96484.46471847188,-0.05134515820060248,-2.93465030929554,367,0.4822888283378747,0.7910086453932298,-3540.575326764162,-2113.9432588371837,25.040045235950302,-3515.5352815282117,1426.6320679269784,7133160.339634892,-2.963543728424567,120.0,0.031877521455239144,96484.46471847188,99560.15031263223,-0.031871800603378464,2.0436808352604747,518,0.4864864864864865,1.099741519363114,3072.281377479975,5096.06274681745,3.404216680516777,3075.6855941604917,2023.7813693374746,10118906.846687373,5.036179128860889,120.0,-0.04182676844627864,99560.15031263223,95395.87095902907,-0.08129153020022573,-2.9239325138184995,588,0.4710884353741497,0.8460064144890619,-4180.655296148662,-1871.5322250269035,16.375942545458777,-4164.279353603203,2309.123071121759,11545615.355608795,-1.620989585555285,120.0,-0.04604129040970928,100000.0,95395.87095902907,-0.08129153020022573,-1.067012420683452,1473,0.4792939579090292,0.9379245616629719,-4648.949245432848,1110.5872629533606,44.82020446192587,-4604.129040970923,5759.5365083862125,28797682.54193106,0.3856516097558484,120.0,44.82020446192587,5759.536508386221,5759.536508386221,19
B0,15,1,1,sma,band,2.0,0.5,4,band,period,2.0,-0.00834803754834934,100000.0,99165.19624516506,-0.04746655327865035,-0.45061164234232726,1480,0.5945945945945946,0.9767786874281895,-832.4400798252891,5031.684305464745,-2.3636750093482695,-834.8037548346374,5864.124385290034,29320621.92645017,1.7160905788719496,45.0,-0.09012899899199589,99165.19624516506,90227.5363727435,-0.11099425238735772,-4.6157241724466145,1484,0.5512129380053908,0.8152011419426896,-8953.368336009495,-3391.8073531961045,15.708463587895901,-8937.659872421598,5561.560982813389,27807804.914066948,-1.2197321448699872,60.0,-0.0668301956512134,90227.5363727435,84197.61246382608,-0.10583847398012347,-3.319660988832476,1779,0.5694210230466554,0.8524603887591021,-6067.038258155144,213.76238081207384,37.11434923735218,-6029.923908917792,6280.800638967218,31404003.19483609,0.06806851326751355,45.0,-0.15802387536173923,100000.0,84197.61246382608,-0.19982836632427214,-2.9292250818373353,4743,0.5715791693021295,0.873600702727196,-15852.846673989927,1853.6393330807164,50.4591378158998,-15802.387536174027,17706.48600707064,88532430.0353532,0.2093740488474689,45.0,50.4591378158998,17706.486007070653,17706.486007070653,20
